time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2019_11_26_10_44_10.682,1,0,625,2019_11_26_10_51_29.165,0,0,0,2019_11_26_10_58_42.696,0,0,0,2019_11_26_11_5_59.828,0,0,0,2019_11_26_11_13_15.512,0,0,0,2019_11_26_11_20_32.67,1,0,520
2019_11_26_10_44_13.715,1,0,455,2019_11_26_10_51_32.201,0,0,0,2019_11_26_10_58_45.731,0,0,0,2019_11_26_11_6_2.863,0,0,0,2019_11_26_11_13_18.548,0,0,0,2019_11_26_11_20_35.705,1,0,366
2019_11_26_10_44_16.75,1,1,348,2019_11_26_10_51_35.236,1,1,790,2019_11_26_10_58_48.766,0,0,0,2019_11_26_11_6_5.899,0,0,0,2019_11_26_11_13_21.583,0,0,0,2019_11_26_11_20_38.74,1,0,292
2019_11_26_10_44_19.785,1,0,370,2019_11_26_10_51_38.271,1,1,908,2019_11_26_10_58_51.801,0,0,0,2019_11_26_11_6_8.934,0,0,0,2019_11_26_11_13_24.618,0,0,0,2019_11_26_11_20_41.775,1,0,281
2019_11_26_10_44_22.821,1,0,343,2019_11_26_10_51_41.307,0,0,0,2019_11_26_10_58_54.837,0,0,0,2019_11_26_11_6_11.97,0,0,0,2019_11_26_11_13_27.653,0,1,0,2019_11_26_11_20_44.81,1,0,143
2019_11_26_10_44_25.853,1,0,317,2019_11_26_10_51_44.342,0,0,0,2019_11_26_10_58_57.872,0,0,0,2019_11_26_11_6_15.005,1,1,996,2019_11_26_11_13_30.688,0,0,0,2019_11_26_11_20_47.845,1,0,229
2019_11_26_10_44_28.887,1,0,372,2019_11_26_10_51_47.377,0,0,0,2019_11_26_10_59_0.907,0,0,0,2019_11_26_11_6_18.04,0,0,0,2019_11_26_11_13_33.723,0,0,0,2019_11_26_11_20_50.88,1,0,203
2019_11_26_10_44_31.922,1,1,313,2019_11_26_10_51_50.412,0,0,0,2019_11_26_10_59_3.943,0,0,0,2019_11_26_11_6_21.075,0,0,0,2019_11_26_11_13_36.758,0,1,0,2019_11_26_11_20_53.915,1,0,208
2019_11_26_10_44_34.956,1,1,319,2019_11_26_10_51_53.448,0,0,0,2019_11_26_10_59_6.978,0,0,0,2019_11_26_11_6_24.11,0,0,0,2019_11_26_11_13_39.826,0,0,0,2019_11_26_11_20_56.95,1,0,54
2019_11_26_10_44_38.007,1,0,324,2019_11_26_10_51_56.483,0,0,0,2019_11_26_10_59_10.014,0,0,0,2019_11_26_11_6_27.146,0,0,0,2019_11_26_11_13_42.861,0,0,0,2019_11_26_11_20_59.985,1,0,236
2019_11_26_10_44_41.041,1,0,298,2019_11_26_10_51_59.518,1,1,884,2019_11_26_10_59_13.049,0,0,0,2019_11_26_11_6_30.181,1,1,1440,2019_11_26_11_13_45.896,0,0,0,2019_11_26_11_21_3.02,1,0,209
2019_11_26_10_44_44.076,1,0,287,2019_11_26_10_52_2.554,0,0,0,2019_11_26_10_59_16.084,0,0,0,2019_11_26_11_6_33.216,1,1,982,2019_11_26_11_13_48.931,1,1,1219,2019_11_26_11_21_6.055,1,1,263
