time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2020_5_13_18_6_37.241,1,0,1023,2020_5_13_18_13_58.293,0,0,0,2020_5_13_18_21_15.655,0,0,0,2020_5_13_18_28_44.987,0,0,0,2020_5_13_18_36_5.681,0,0,0,2020_5_13_18_43_24.148,1,0,711
2020_5_13_18_6_40.256,1,0,696,2020_5_13_18_14_1.306,0,0,0,2020_5_13_18_21_18.669,0,0,0,2020_5_13_18_28_47.998,0,0,0,2020_5_13_18_36_8.695,0,0,0,2020_5_13_18_43_27.162,1,1,450
2020_5_13_18_6_43.269,1,0,708,2020_5_13_18_14_4.32,0,0,0,2020_5_13_18_21_21.683,0,0,0,2020_5_13_18_28_51.013,1,1,1077,2020_5_13_18_36_11.709,0,0,0,2020_5_13_18_43_30.173,1,0,272
2020_5_13_18_6_46.285,1,0,524,2020_5_13_18_14_7.333,0,0,0,2020_5_13_18_21_24.697,0,0,0,2020_5_13_18_28_54.028,0,0,0,2020_5_13_18_36_14.722,0,0,0,2020_5_13_18_43_33.186,1,0,490
2020_5_13_18_6_49.304,1,0,481,2020_5_13_18_14_10.348,0,1,0,2020_5_13_18_21_27.711,0,0,0,2020_5_13_18_28_57.041,0,0,0,2020_5_13_18_36_17.736,0,0,0,2020_5_13_18_43_36.2,1,0,356
2020_5_13_18_6_52.32,1,0,409,2020_5_13_18_14_13.362,0,0,0,2020_5_13_18_21_30.724,0,0,0,2020_5_13_18_29_0.052,0,0,0,2020_5_13_18_36_20.751,0,0,0,2020_5_13_18_43_39.215,1,0,286
2020_5_13_18_6_55.335,1,0,546,2020_5_13_18_14_16.375,0,0,0,2020_5_13_18_21_33.739,0,0,0,2020_5_13_18_29_3.066,0,0,0,2020_5_13_18_36_23.765,0,0,0,2020_5_13_18_43_42.225,1,0,475
2020_5_13_18_6_58.349,1,0,491,2020_5_13_18_14_19.39,0,0,0,2020_5_13_18_21_36.753,0,1,0,2020_5_13_18_29_6.08,0,0,0,2020_5_13_18_36_26.778,0,1,0,2020_5_13_18_43_45.235,1,0,584
2020_5_13_18_7_1.363,1,1,614,2020_5_13_18_14_22.404,1,1,1894,2020_5_13_18_21_39.766,0,0,0,2020_5_13_18_29_9.093,1,1,1990,2020_5_13_18_36_29.79,0,0,0,2020_5_13_18_43_48.246,1,0,278
2020_5_13_18_7_4.377,1,0,656,2020_5_13_18_14_25.417,1,1,976,2020_5_13_18_21_42.781,0,1,0,2020_5_13_18_29_12.106,0,0,0,2020_5_13_18_36_32.804,0,1,0,2020_5_13_18_43_51.26,1,0,353
2020_5_13_18_7_7.403,1,0,878,2020_5_13_18_14_28.431,1,1,1530,2020_5_13_18_21_45.795,0,1,0,2020_5_13_18_29_15.121,0,1,0,2020_5_13_18_36_35.817,1,0,946,2020_5_13_18_43_54.273,1,0,315
2020_5_13_18_7_10.417,1,0,439,2020_5_13_18_14_31.446,0,0,0,2020_5_13_18_21_48.808,0,0,0,2020_5_13_18_29_18.134,0,0,0,2020_5_13_18_36_38.83,1,1,1789,2020_5_13_18_43_57.287,1,1,341
2020_5_13_18_7_13.431,1,0,497,2020_5_13_18_14_34.459,0,0,0,2020_5_13_18_21_51.822,0,0,0,2020_5_13_18_29_21.148,0,0,0,2020_5_13_18_36_41.842,0,0,0,2020_5_13_18_44_0.301,1,0,336
2020_5_13_18_7_16.446,1,0,1,2020_5_13_18_14_37.473,0,0,0,2020_5_13_18_21_54.836,0,0,0,2020_5_13_18_29_24.161,1,0,1849,2020_5_13_18_36_44.856,0,0,0,2020_5_13_18_44_3.315,1,0,298
2020_5_13_18_7_19.46,1,1,453,2020_5_13_18_14_40.487,0,0,0,2020_5_13_18_21_57.85,0,0,0,2020_5_13_18_29_27.176,1,1,675,2020_5_13_18_36_47.869,0,0,0,2020_5_13_18_44_6.328,1,0,324
