time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2020_7_31_14_59_8.658,1,0,611,2020_7_31_15_6_30.029,0,0,0,2020_7_31_15_13_51.016,0,0,0,2020_7_31_15_21_5.135,0,0,0,2020_7_31_15_28_18.737,0,0,0,2020_7_31_15_35_29.488,1,0,420
2020_7_31_14_59_11.709,1,0,1688,2020_7_31_15_6_33.063,0,0,0,2020_7_31_15_13_54.051,0,0,0,2020_7_31_15_21_8.17,0,0,0,2020_7_31_15_28_21.771,0,0,0,2020_7_31_15_35_32.523,1,1,570
2020_7_31_14_59_14.743,1,0,526,2020_7_31_15_6_36.098,0,0,0,2020_7_31_15_13_57.085,0,0,0,2020_7_31_15_21_11.204,1,1,1185,2020_7_31_15_28_24.806,0,0,0,2020_7_31_15_35_35.557,1,0,416
2020_7_31_14_59_17.777,1,0,500,2020_7_31_15_6_39.132,0,0,0,2020_7_31_15_14_0.119,0,0,0,2020_7_31_15_21_14.238,0,0,0,2020_7_31_15_28_27.84,0,0,0,2020_7_31_15_35_38.591,1,0,357
2020_7_31_14_59_20.814,1,0,312,2020_7_31_15_6_42.166,1,1,1183,2020_7_31_15_14_3.154,0,0,0,2020_7_31_15_21_17.272,0,0,0,2020_7_31_15_28_30.874,0,0,0,2020_7_31_15_35_41.626,1,0,331
2020_7_31_14_59_23.846,1,0,415,2020_7_31_15_6_45.2,0,0,0,2020_7_31_15_14_6.188,0,0,0,2020_7_31_15_21_20.307,0,0,0,2020_7_31_15_28_33.909,0,0,0,2020_7_31_15_35_44.66,1,0,273
2020_7_31_14_59_26.88,1,0,405,2020_7_31_15_6_48.235,0,0,0,2020_7_31_15_14_9.222,0,0,0,2020_7_31_15_21_23.341,0,0,0,2020_7_31_15_28_36.943,0,0,0,2020_7_31_15_35_47.694,1,0,326
2020_7_31_14_59_29.915,1,0,507,2020_7_31_15_6_51.269,0,0,0,2020_7_31_15_14_12.257,0,1,0,2020_7_31_15_21_26.375,0,0,0,2020_7_31_15_28_39.977,1,1,875,2020_7_31_15_35_50.728,1,0,332
2020_7_31_14_59_32.949,1,1,304,2020_7_31_15_6_54.303,1,1,966,2020_7_31_15_14_15.324,0,0,0,2020_7_31_15_21_29.409,1,1,675,2020_7_31_15_28_43.012,0,0,0,2020_7_31_15_35_53.763,1,0,305
2020_7_31_14_59_35.983,1,0,342,2020_7_31_15_6_57.337,1,1,955,2020_7_31_15_14_18.358,0,1,0,2020_7_31_15_21_32.444,0,0,0,2020_7_31_15_28_46.046,0,1,0,2020_7_31_15_35_56.797,1,0,359
2020_7_31_14_59_39.017,1,0,300,2020_7_31_15_7_0.372,1,1,1105,2020_7_31_15_14_21.393,0,1,0,2020_7_31_15_21_35.478,1,1,734,2020_7_31_15_28_49.08,0,0,0,2020_7_31_15_35_59.831,1,0,285
2020_7_31_14_59_42.052,1,0,481,2020_7_31_15_7_3.406,0,0,0,2020_7_31_15_14_24.427,0,0,0,2020_7_31_15_21_38.512,0,0,0,2020_7_31_15_28_52.114,1,1,1042,2020_7_31_15_36_2.866,1,1,307
2020_7_31_14_59_45.086,1,0,455,2020_7_31_15_7_6.44,0,0,0,2020_7_31_15_14_27.461,0,0,0,2020_7_31_15_21_41.547,0,0,0,2020_7_31_15_28_55.149,0,0,0,2020_7_31_15_36_5.9,1,0,345
2020_7_31_14_59_48.12,1,0,397,2020_7_31_15_7_9.475,0,0,0,2020_7_31_15_14_30.496,0,0,0,2020_7_31_15_21_44.581,0,0,0,2020_7_31_15_28_58.183,0,0,0,2020_7_31_15_36_8.934,1,0,286
2020_7_31_14_59_51.154,1,1,579,2020_7_31_15_7_12.509,0,0,0,2020_7_31_15_14_33.53,0,0,0,2020_7_31_15_21_47.615,1,1,581,2020_7_31_15_29_1.217,0,0,0,2020_7_31_15_36_11.968,1,0,276
