time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2020_5_14_10_3_47.16,1,0,635,2020_5_14_10_11_3.036,0,0,0,2020_5_14_10_18_17.911,0,0,0,2020_5_14_10_25_30.051,0,0,0,2020_5_14_10_32_40.507,0,0,0,2020_5_14_10_39_50.585,1,0,868
2020_5_14_10_3_50.212,1,0,720,2020_5_14_10_11_6.07,0,0,0,2020_5_14_10_18_20.945,0,0,0,2020_5_14_10_25_33.086,0,0,0,2020_5_14_10_32_43.542,0,0,0,2020_5_14_10_39_53.636,1,1,873
2020_5_14_10_3_53.247,1,0,966,2020_5_14_10_11_9.105,0,0,0,2020_5_14_10_18_23.98,0,0,0,2020_5_14_10_25_36.12,1,1,1571,2020_5_14_10_32_46.576,0,0,0,2020_5_14_10_39_56.687,1,0,558
2020_5_14_10_3_56.298,1,0,971,2020_5_14_10_11_12.14,0,0,0,2020_5_14_10_18_27.015,0,0,0,2020_5_14_10_25_39.172,0,0,0,2020_5_14_10_32_49.611,0,0,0,2020_5_14_10_39_59.738,1,0,627
2020_5_14_10_3_59.335,1,0,623,2020_5_14_10_11_15.174,1,1,1062,2020_5_14_10_18_30.049,0,0,0,2020_5_14_10_25_42.206,0,0,0,2020_5_14_10_32_52.646,0,0,0,2020_5_14_10_40_2.789,1,0,840
2020_5_14_10_4_2.384,1,0,1030,2020_5_14_10_11_18.226,0,0,0,2020_5_14_10_18_33.084,0,0,0,2020_5_14_10_25_45.241,0,0,0,2020_5_14_10_32_55.68,0,0,0,2020_5_14_10_40_5.84,1,0,637
2020_5_14_10_4_5.435,1,0,1051,2020_5_14_10_11_21.26,0,0,0,2020_5_14_10_18_36.119,0,0,0,2020_5_14_10_25_48.276,0,0,0,2020_5_14_10_32_58.715,0,0,0,2020_5_14_10_40_8.891,1,0,546
2020_5_14_10_4_8.486,1,0,816,2020_5_14_10_11_24.295,0,0,0,2020_5_14_10_18_39.153,1,1,1765,2020_5_14_10_25_51.31,0,0,0,2020_5_14_10_33_1.75,1,1,798,2020_5_14_10_40_11.942,1,0,791
2020_5_14_10_4_11.538,1,1,677,2020_5_14_10_11_27.33,1,1,813,2020_5_14_10_18_42.205,0,0,0,2020_5_14_10_25_54.345,1,1,900,2020_5_14_10_33_4.801,0,0,0,2020_5_14_10_40_14.993,1,0,892
2020_5_14_10_4_14.589,1,0,826,2020_5_14_10_11_30.381,1,1,978,2020_5_14_10_18_45.239,0,1,0,2020_5_14_10_25_57.396,0,0,0,2020_5_14_10_33_7.836,0,1,0,2020_5_14_10_40_18.044,1,0,705
