time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2020_7_31_17_1_36.8,0,0,0,2020_7_31_17_9_5.34,0,0,0,2020_7_31_17_16_22.843,0,0,0,2020_7_31_17_23_36.429,0,0,0,2020_7_31_17_30_50.347,0,0,0,2020_7_31_17_38_2.432,1,0,609
2020_7_31_17_1_39.868,1,0,663,2020_7_31_17_9_8.374,0,0,0,2020_7_31_17_16_25.877,0,0,0,2020_7_31_17_23_39.463,0,0,0,2020_7_31_17_30_53.382,0,0,0,2020_7_31_17_38_5.466,1,1,359
2020_7_31_17_1_42.902,1,1,349,2020_7_31_17_9_11.409,1,1,610,2020_7_31_17_16_28.912,0,0,0,2020_7_31_17_23_42.497,0,0,0,2020_7_31_17_30_56.416,0,0,0,2020_7_31_17_38_8.501,1,1,301
2020_7_31_17_1_45.936,1,0,258,2020_7_31_17_9_14.443,0,0,0,2020_7_31_17_16_31.946,0,0,0,2020_7_31_17_23_45.531,0,0,0,2020_7_31_17_30_59.45,0,0,0,2020_7_31_17_38_11.535,1,0,307
2020_7_31_17_1_48.973,1,1,295,2020_7_31_17_9_17.478,0,0,0,2020_7_31_17_16_34.98,1,1,430,2020_7_31_17_23_48.566,0,0,0,2020_7_31_17_31_2.484,0,0,0,2020_7_31_17_38_14.57,1,0,280
2020_7_31_17_1_52.005,1,1,270,2020_7_31_17_9_20.511,0,0,0,2020_7_31_17_16_38.015,0,0,0,2020_7_31_17_23_51.6,0,0,0,2020_7_31_17_31_5.519,0,0,0,2020_7_31_17_38_17.603,1,0,526
2020_7_31_17_1_55.039,1,1,371,2020_7_31_17_9_23.546,0,0,0,2020_7_31_17_16_41.049,0,0,0,2020_7_31_17_23_54.634,1,1,776,2020_7_31_17_31_8.553,1,1,713,2020_7_31_17_38_20.638,1,0,756
2020_7_31_17_1_58.073,1,0,233,2020_7_31_17_9_26.58,0,0,0,2020_7_31_17_16_44.083,0,0,0,2020_7_31_17_23_57.668,1,1,782,2020_7_31_17_31_11.587,0,0,0,2020_7_31_17_38_23.672,1,0,698
2020_7_31_17_2_1.108,1,1,271,2020_7_31_17_9_29.614,0,0,0,2020_7_31_17_16_47.117,0,0,0,2020_7_31_17_24_0.703,1,1,611,2020_7_31_17_31_14.621,0,0,0,2020_7_31_17_38_26.706,1,0,383
2020_7_31_17_2_4.142,1,0,261,2020_7_31_17_9_32.649,1,1,522,2020_7_31_17_16_50.152,1,1,714,2020_7_31_17_24_3.737,1,1,569,2020_7_31_17_31_17.656,0,0,0,2020_7_31_17_38_29.741,1,1,485
2020_7_31_17_2_7.176,1,0,298,2020_7_31_17_9_35.683,0,0,0,2020_7_31_17_16_53.186,0,1,0,2020_7_31_17_24_6.771,0,0,0,2020_7_31_17_31_20.69,1,1,784,2020_7_31_17_38_32.775,1,1,715
2020_7_31_17_2_10.21,1,0,288,2020_7_31_17_9_38.717,0,0,0,2020_7_31_17_16_56.22,0,0,0,2020_7_31_17_24_9.806,1,1,756,2020_7_31_17_31_23.724,0,0,0,2020_7_31_17_38_35.809,1,0,848
2020_7_31_17_2_13.245,1,0,230,2020_7_31_17_9_41.751,0,0,0,2020_7_31_17_16_59.255,0,0,0,2020_7_31_17_24_12.84,0,0,0,2020_7_31_17_31_26.759,1,1,635,2020_7_31_17_38_38.843,1,0,854
2020_7_31_17_2_16.279,1,0,155,2020_7_31_17_9_44.786,1,1,561,2020_7_31_17_17_2.289,1,1,929,2020_7_31_17_24_15.874,0,0,0,2020_7_31_17_31_29.793,0,0,0,2020_7_31_17_38_41.878,1,0,892
