time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2019_11_27_13_51_14.882,1,0,447,2019_11_27_13_58_37.522,0,0,0,2019_11_27_14_5_55.344,0,0,0,2019_11_27_14_13_8.948,0,0,0,2019_11_27_14_20_28.821,0,0,0,2019_11_27_14_27_42.125,1,0,781
2019_11_27_13_51_17.984,1,0,593,2019_11_27_13_58_40.557,0,0,0,2019_11_27_14_5_58.379,0,0,0,2019_11_27_14_13_11.982,0,0,0,2019_11_27_14_20_31.855,0,0,0,2019_11_27_14_27_45.176,1,1,706
2019_11_27_13_51_21.034,1,0,422,2019_11_27_13_58_43.591,0,0,0,2019_11_27_14_6_1.413,0,0,0,2019_11_27_14_13_15.017,1,1,622,2019_11_27_14_20_34.89,0,0,0,2019_11_27_14_27_48.227,1,0,295
2019_11_27_13_51_24.086,1,0,411,2019_11_27_13_58_46.625,0,0,0,2019_11_27_14_6_4.447,0,0,0,2019_11_27_14_13_18.068,0,0,0,2019_11_27_14_20_37.924,0,0,0,2019_11_27_14_27_51.278,1,0,268
2019_11_27_13_51_27.138,1,0,287,2019_11_27_13_58_49.659,1,1,951,2019_11_27_14_6_7.482,1,0,1211,2019_11_27_14_13_21.102,0,0,0,2019_11_27_14_20_40.958,0,0,0,2019_11_27_14_27_54.328,1,0,274
2019_11_27_13_51_30.187,1,0,342,2019_11_27_13_58_52.71,0,0,0,2019_11_27_14_6_10.532,0,0,0,2019_11_27_14_13_24.136,0,0,0,2019_11_27_14_20_43.992,0,0,0,2019_11_27_14_27_57.379,1,0,262
2019_11_27_13_51_33.238,1,0,267,2019_11_27_13_58_55.745,0,0,0,2019_11_27_14_6_13.567,0,0,0,2019_11_27_14_13_27.171,0,0,0,2019_11_27_14_20_47.027,0,0,0,2019_11_27_14_28_0.43,1,0,203
2019_11_27_13_51_36.289,1,0,256,2019_11_27_13_58_58.779,0,0,0,2019_11_27_14_6_16.601,1,1,1787,2019_11_27_14_13_30.205,0,0,0,2019_11_27_14_20_50.061,1,1,1051,2019_11_27_14_28_3.481,1,0,273
2019_11_27_13_51_39.34,1,1,261,2019_11_27_13_59_1.813,1,1,829,2019_11_27_14_6_19.652,0,0,0,2019_11_27_14_13_33.239,1,1,607,2019_11_27_14_20_53.112,0,0,0,2019_11_27_14_28_6.532,1,0,246
2019_11_27_13_51_42.391,1,0,266,2019_11_27_13_59_4.864,1,1,946,2019_11_27_14_6_22.686,0,1,0,2019_11_27_14_13_36.29,0,0,0,2019_11_27_14_20_56.146,1,1,950,2019_11_27_14_28_9.583,1,0,235
2019_11_27_13_51_45.425,1,0,255,2019_11_27_13_59_7.915,1,1,967,2019_11_27_14_6_25.72,1,1,844,2019_11_27_14_13_39.324,1,1,650,2019_11_27_14_20_59.197,0,0,0,2019_11_27_14_28_12.634,1,0,256
2019_11_27_13_51_48.476,1,0,261,2019_11_27_13_59_10.966,0,0,0,2019_11_27_14_6_28.771,0,0,0,2019_11_27_14_13_42.375,0,0,0,2019_11_27_14_21_2.231,0,1,0,2019_11_27_14_28_15.685,1,1,293
2019_11_27_13_51_51.527,1,0,74,2019_11_27_13_59_14,0,0,0,2019_11_27_14_6_31.806,0,0,0,2019_11_27_14_13_45.41,0,0,0,2019_11_27_14_21_5.266,0,0,0,2019_11_27_14_28_18.736,1,0,250
2019_11_27_13_51_54.578,1,0,254,2019_11_27_13_59_17.035,0,0,0,2019_11_27_14_6_34.84,0,0,0,2019_11_27_14_13_48.444,0,0,0,2019_11_27_14_21_8.3,0,0,0,2019_11_27_14_28_21.787,1,0,271
2019_11_27_13_51_57.629,1,1,244,2019_11_27_13_59_20.069,0,0,0,2019_11_27_14_6_37.874,0,0,0,2019_11_27_14_13_51.479,0,1,0,2019_11_27_14_21_11.334,0,0,0,2019_11_27_14_28_24.838,1,0,228
2019_11_27_13_52_0.68,1,0,217,2019_11_27_13_59_23.104,0,0,0,2019_11_27_14_6_40.909,0,0,0,2019_11_27_14_13_54.563,1,1,1412,2019_11_27_14_21_14.369,0,0,0,2019_11_27_14_28_27.889,1,0,232
2019_11_27_13_52_3.731,1,0,254,2019_11_27_13_59_26.138,0,0,0,2019_11_27_14_6_43.943,1,1,1262,2019_11_27_14_13_57.614,0,0,0,2019_11_27_14_21_17.402,1,1,814,2019_11_27_14_28_30.94,1,0,205
2019_11_27_13_52_6.782,1,0,243,2019_11_27_13_59_29.172,0,0,0,2019_11_27_14_6_46.994,1,1,1731,2019_11_27_14_14_0.648,1,1,1598,2019_11_27_14_21_20.454,0,0,0,2019_11_27_14_28_33.991,1,1,243
2019_11_27_13_52_9.833,1,0,216,2019_11_27_13_59_32.206,0,0,0,2019_11_27_14_6_50.045,0,0,0,2019_11_27_14_14_3.699,0,0,0,2019_11_27_14_21_23.488,1,1,1688,2019_11_27_14_28_37.043,1,0,233
2019_11_27_13_52_12.884,1,0,221,2019_11_27_13_59_35.241,0,0,0,2019_11_27_14_6_53.079,0,0,0,2019_11_27_14_14_6.733,0,0,0,2019_11_27_14_21_26.539,0,0,0,2019_11_27_14_28_40.093,1,0,221
2019_11_27_13_52_15.935,1,0,226,2019_11_27_13_59_38.275,0,0,0,2019_11_27_14_6_56.113,0,0,0,2019_11_27_14_14_9.767,0,0,0,2019_11_27_14_21_29.573,0,0,0,2019_11_27_14_28_43.144,1,0,290
2019_11_27_13_52_18.986,1,0,247,2019_11_27_13_59_41.309,0,0,0,2019_11_27_14_6_59.148,1,1,1337,2019_11_27_14_14_12.802,0,0,0,2019_11_27_14_21_32.608,0,0,0,2019_11_27_14_28_46.195,1,0,231
2019_11_27_13_52_22.037,1,1,220,2019_11_27_13_59_44.343,0,0,0,2019_11_27_14_7_2.199,0,0,0,2019_11_27_14_14_15.836,0,0,0,2019_11_27_14_21_35.642,0,0,0,2019_11_27_14_28_49.246,1,0,220
2019_11_27_13_52_25.088,1,0,273,2019_11_27_13_59_47.378,0,0,0,2019_11_27_14_7_5.233,0,0,0,2019_11_27_14_14_18.87,0,0,0,2019_11_27_14_21_38.676,0,0,0,2019_11_27_14_28_52.297,1,0,225
2019_11_27_13_52_28.139,1,0,214,2019_11_27_13_59_50.412,0,0,0,2019_11_27_14_7_8.267,0,0,0,2019_11_27_14_14_21.905,0,0,0,2019_11_27_14_21_41.711,0,0,0,2019_11_27_14_28_55.348,1,0,230
2019_11_27_13_52_31.173,1,1,204,2019_11_27_13_59_53.446,0,0,0,2019_11_27_14_7_11.302,0,0,0,2019_11_27_14_14_24.939,0,0,0,2019_11_27_14_21_44.745,0,0,0,2019_11_27_14_28_58.399,1,1,252
2019_11_27_13_52_34.224,1,0,65,2019_11_27_13_59_56.481,0,0,0,2019_11_27_14_7_14.336,0,0,0,2019_11_27_14_14_27.973,0,0,0,2019_11_27_14_21_47.779,1,1,694,2019_11_27_14_29_1.45,1,0,224
2019_11_27_13_52_37.275,1,0,198,2019_11_27_13_59_59.515,0,0,0,2019_11_27_14_7_17.37,0,0,0,2019_11_27_14_14_31.007,0,0,0,2019_11_27_14_21_50.83,0,0,0,2019_11_27_14_29_4.501,1,0,230
2019_11_27_13_52_40.326,1,0,219,2019_11_27_14_0_2.549,1,1,558,2019_11_27_14_7_20.404,1,1,721,2019_11_27_14_14_34.042,0,0,0,2019_11_27_14_21_53.864,0,0,0,2019_11_27_14_29_7.552,1,1,235
2019_11_27_13_52_43.377,1,0,272,2019_11_27_14_0_5.6,0,0,0,2019_11_27_14_7_23.455,0,0,0,2019_11_27_14_14_37.076,1,1,754,2019_11_27_14_21_56.899,0,0,0,2019_11_27_14_29_10.603,1,1,240
2019_11_27_13_52_46.428,1,1,213,2019_11_27_14_0_8.634,0,0,0,2019_11_27_14_7_26.49,0,0,0,2019_11_27_14_14_40.127,0,0,0,2019_11_27_14_21_59.933,0,0,0,2019_11_27_14_29_13.654,1,0,244
2019_11_27_13_52_49.512,1,0,1065,2019_11_27_14_0_11.669,0,0,0,2019_11_27_14_7_29.524,1,1,1089,2019_11_27_14_14_43.161,0,0,0,2019_11_27_14_22_2.967,0,0,0,2019_11_27_14_29_16.705,1,1,250
2019_11_27_13_52_52.563,1,0,350,2019_11_27_14_0_14.703,0,0,0,2019_11_27_14_7_32.575,0,0,0,2019_11_27_14_14_46.196,0,0,0,2019_11_27_14_22_6.002,0,0,0,2019_11_27_14_29_19.756,1,0,255
2019_11_27_13_52_55.614,1,0,307,2019_11_27_14_0_17.737,0,0,0,2019_11_27_14_7_35.609,0,0,0,2019_11_27_14_14_49.23,0,0,0,2019_11_27_14_22_9.036,1,1,781,2019_11_27_14_29_22.807,1,1,259
2019_11_27_13_52_58.649,1,1,345,2019_11_27_14_0_20.772,0,0,0,2019_11_27_14_7_38.644,0,0,0,2019_11_27_14_14_52.264,0,0,0,2019_11_27_14_22_12.087,0,0,0,2019_11_27_14_29_25.857,1,0,249
2019_11_27_13_53_1.683,1,0,254,2019_11_27_14_0_23.806,0,0,0,2019_11_27_14_7_41.678,0,0,0,2019_11_27_14_14_55.299,0,0,0,2019_11_27_14_22_15.121,1,1,743,2019_11_27_14_29_28.908,1,0,206
2019_11_27_13_53_4.734,1,0,195,2019_11_27_14_0_26.84,1,1,571,2019_11_27_14_7_44.712,0,0,0,2019_11_27_14_14_58.333,1,1,618,2019_11_27_14_22_18.172,0,0,0,2019_11_27_14_29_31.959,1,1,227
2019_11_27_13_53_7.785,1,0,249,2019_11_27_14_0_29.891,0,0,0,2019_11_27_14_7_47.746,0,0,0,2019_11_27_14_15_1.384,0,0,0,2019_11_27_14_22_21.207,0,0,0,2019_11_27_14_29_35.01,1,0,200
2019_11_27_13_53_10.836,1,0,222,2019_11_27_14_0_32.925,0,0,0,2019_11_27_14_7_50.781,0,0,0,2019_11_27_14_15_4.418,1,1,1093,2019_11_27_14_22_24.241,1,1,600,2019_11_27_14_29_38.061,1,1,237
2019_11_27_13_53_13.886,1,1,275,2019_11_27_14_0_35.96,0,0,0,2019_11_27_14_7_53.815,0,0,0,2019_11_27_14_15_7.469,0,0,0,2019_11_27_14_22_27.292,1,1,877,2019_11_27_14_29_41.112,1,0,226
2019_11_27_13_53_16.937,1,1,232,2019_11_27_14_0_38.994,0,0,0,2019_11_27_14_7_56.849,1,1,580,2019_11_27_14_15_10.503,0,0,0,2019_11_27_14_22_30.343,0,0,0,2019_11_27_14_29_44.163,1,0,231
2019_11_27_13_53_19.988,1,0,333,2019_11_27_14_0_42.028,0,0,0,2019_11_27_14_7_59.9,1,1,824,2019_11_27_14_15_13.538,0,0,0,2019_11_27_14_22_33.377,0,0,0,2019_11_27_14_29_47.214,1,0,236
2019_11_27_13_53_23.039,1,0,210,2019_11_27_14_0_45.063,0,0,0,2019_11_27_14_8_2.951,0,0,0,2019_11_27_14_15_16.572,0,0,0,2019_11_27_14_22_36.411,1,1,573,2019_11_27_14_29_50.265,1,0,225
2019_11_27_13_53_26.09,1,0,295,2019_11_27_14_0_48.097,0,0,0,2019_11_27_14_8_5.986,0,0,0,2019_11_27_14_15_19.606,0,0,0,2019_11_27_14_22_39.462,0,0,0,2019_11_27_14_29_53.317,1,1,230
2019_11_27_13_53_29.142,1,1,268,2019_11_27_14_0_51.131,1,1,775,2019_11_27_14_8_9.02,0,0,0,2019_11_27_14_15_22.64,0,0,0,2019_11_27_14_22_42.496,0,0,0,2019_11_27_14_29_56.367,1,0,220
2019_11_27_13_53_32.192,1,0,257,2019_11_27_14_0_54.182,1,1,716,2019_11_27_14_8_12.054,0,0,0,2019_11_27_14_15_25.675,0,0,0,2019_11_27_14_22_45.531,1,1,973,2019_11_27_14_29_59.418,1,0,208
2019_11_27_13_53_35.227,1,0,279,2019_11_27_14_0_57.233,1,1,1074,2019_11_27_14_8_15.089,0,0,0,2019_11_27_14_15_28.709,0,0,0,2019_11_27_14_22_48.582,0,0,0,2019_11_27_14_30_2.469,1,0,214
2019_11_27_13_53_38.278,1,0,220,2019_11_27_14_1_0.284,1,1,775,2019_11_27_14_8_18.123,0,0,0,2019_11_27_14_15_31.743,0,0,0,2019_11_27_14_22_51.616,0,0,0,2019_11_27_14_30_5.52,1,0,234
2019_11_27_13_53_41.328,1,0,241,2019_11_27_14_1_3.335,0,0,0,2019_11_27_14_8_21.157,1,1,896,2019_11_27_14_15_34.778,0,0,0,2019_11_27_14_22_54.65,0,0,0,2019_11_27_14_30_8.571,1,0,143
2019_11_27_13_53_44.379,1,0,245,2019_11_27_14_1_6.369,1,1,738,2019_11_27_14_8_24.208,0,0,0,2019_11_27_14_15_37.812,1,1,531,2019_11_27_14_22_57.685,1,1,788,2019_11_27_14_30_11.621,1,0,261
2019_11_27_13_53_47.43,1,0,235,2019_11_27_14_1_9.42,0,0,0,2019_11_27_14_8_27.242,0,0,0,2019_11_27_14_15_40.863,1,1,696,2019_11_27_14_23_0.735,1,1,905,2019_11_27_14_30_14.673,1,0,201
2019_11_27_13_53_50.482,1,1,240,2019_11_27_14_1_12.455,0,0,0,2019_11_27_14_8_30.277,1,1,384,2019_11_27_14_15_43.914,0,0,0,2019_11_27_14_23_3.787,0,0,0,2019_11_27_14_30_17.724,1,1,223
2019_11_27_13_53_53.532,1,1,229,2019_11_27_14_1_15.489,0,0,0,2019_11_27_14_8_33.328,0,0,0,2019_11_27_14_15_46.948,0,0,0,2019_11_27_14_23_6.821,1,1,611,2019_11_27_14_30_20.775,1,0,148
2019_11_27_13_53_56.583,1,0,250,2019_11_27_14_1_18.523,0,0,0,2019_11_27_14_8_36.362,1,0,667,2019_11_27_14_15_49.982,0,0,0,2019_11_27_14_23_9.872,0,0,0,2019_11_27_14_30_23.826,1,1,137
2019_11_27_13_53_59.635,1,0,271,2019_11_27_14_1_21.558,0,0,0,2019_11_27_14_8_39.413,0,0,0,2019_11_27_14_15_53.017,0,0,0,2019_11_27_14_23_12.906,1,0,1791,2019_11_27_14_30_26.877,1,0,254
2019_11_27_13_54_2.685,1,0,324,2019_11_27_14_1_24.592,1,1,691,2019_11_27_14_8_42.447,0,0,0,2019_11_27_14_15_56.051,0,0,0,2019_11_27_14_23_15.957,0,0,0,2019_11_27_14_30_29.928,1,0,227
2019_11_27_13_54_5.736,1,0,281,2019_11_27_14_1_27.643,0,0,0,2019_11_27_14_8_45.482,0,0,0,2019_11_27_14_15_59.086,1,1,1417,2019_11_27_14_23_18.991,0,0,0,2019_11_27_14_30_32.979,1,1,104
2019_11_27_13_54_8.787,1,0,334,2019_11_27_14_1_30.677,1,1,590,2019_11_27_14_8_48.516,0,0,0,2019_11_27_14_16_2.136,0,0,0,2019_11_27_14_23_22.026,0,0,0,2019_11_27_14_30_36.03,1,1,253
2019_11_27_13_54_11.838,1,1,243,2019_11_27_14_1_33.728,0,0,0,2019_11_27_14_8_51.55,0,0,0,2019_11_27_14_16_5.171,0,0,0,2019_11_27_14_23_25.06,0,0,0,2019_11_27_14_30_39.147,1,0,1
2019_11_27_13_54_14.889,1,0,248,2019_11_27_14_1_36.762,0,0,0,2019_11_27_14_8_54.584,0,0,0,2019_11_27_14_16_8.205,0,0,0,2019_11_27_14_23_28.094,0,0,0,2019_11_27_14_30_42.198,1,0,276
2019_11_27_13_54_17.94,1,0,237,2019_11_27_14_1_39.797,0,0,0,2019_11_27_14_8_57.619,1,1,867,2019_11_27_14_16_11.239,0,1,0,2019_11_27_14_23_31.128,0,0,0,2019_11_27_14_30_45.249,1,0,281
2019_11_27_13_54_20.974,1,0,243,2019_11_27_14_1_42.831,1,1,596,2019_11_27_14_9_0.67,0,0,0,2019_11_27_14_16_14.274,0,0,0,2019_11_27_14_23_34.163,1,1,518,2019_11_27_14_30_48.301,1,0,286
2019_11_27_13_54_24.025,1,1,248,2019_11_27_14_1_45.882,0,0,0,2019_11_27_14_9_3.704,0,0,0,2019_11_27_14_16_17.308,0,0,0,2019_11_27_14_23_37.214,0,0,0,2019_11_27_14_30_51.351,1,0,228
2019_11_27_13_54_27.076,1,1,205,2019_11_27_14_1_48.916,1,1,528,2019_11_27_14_9_6.738,1,1,947,2019_11_27_14_16_20.342,0,0,0,2019_11_27_14_23_40.248,0,0,0,2019_11_27_14_30_54.402,1,0,232
2019_11_27_13_54_30.127,1,0,258,2019_11_27_14_1_51.967,0,0,0,2019_11_27_14_9_9.789,1,0,1753,2019_11_27_14_16_23.376,0,0,0,2019_11_27_14_23_43.282,0,0,0,2019_11_27_14_30_57.453,1,1,125
2019_11_27_13_54_33.178,1,0,263,2019_11_27_14_1_55.001,1,1,826,2019_11_27_14_9_12.84,0,0,0,2019_11_27_14_16_26.411,1,1,412,2019_11_27_14_23_46.317,0,0,0,2019_11_27_14_31_0.504,1,0,243
2019_11_27_13_54_36.229,1,0,220,2019_11_27_14_1_58.052,0,0,0,2019_11_27_14_9_15.874,0,0,0,2019_11_27_14_16_29.462,1,1,594,2019_11_27_14_23_49.351,0,0,0,2019_11_27_14_31_3.555,1,0,232
2019_11_27_13_54_39.28,1,0,241,2019_11_27_14_2_1.087,0,0,0,2019_11_27_14_9_18.909,0,0,0,2019_11_27_14_16_32.513,1,1,630,2019_11_27_14_23_52.386,0,0,0,2019_11_27_14_31_6.606,1,0,253
2019_11_27_13_54_42.331,1,1,182,2019_11_27_14_2_4.121,1,1,810,2019_11_27_14_9_21.943,1,1,462,2019_11_27_14_16_35.564,0,0,0,2019_11_27_14_23_55.42,0,0,0,2019_11_27_14_31_9.657,1,0,242
