time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2019_11_25_11_17_52.04,1,0,1001,2019_11_25_11_25_20.113,0,0,0,2019_11_25_11_32_46.453,0,0,0,2019_11_25_11_40_5.256,0,0,0,2019_11_25_11_47_26.111,0,0,0,2019_11_25_11_54_37.879,1,0,1226
2019_11_25_11_17_55.074,1,0,654,2019_11_25_11_25_23.147,1,0,1845,2019_11_25_11_32_49.487,0,0,0,2019_11_25_11_40_8.291,0,0,0,2019_11_25_11_47_29.145,0,0,0,2019_11_25_11_54_40.914,1,1,447
2019_11_25_11_17_58.108,1,0,548,2019_11_25_11_25_26.182,0,0,0,2019_11_25_11_32_52.521,0,0,0,2019_11_25_11_40_11.325,1,1,548,2019_11_25_11_47_32.18,0,0,0,2019_11_25_11_54_43.948,1,0,469
2019_11_25_11_18_1.144,1,0,554,2019_11_25_11_25_29.216,0,0,0,2019_11_25_11_32_55.556,1,0,733,2019_11_25_11_40_14.359,1,0,1353,2019_11_25_11_47_35.214,0,0,0,2019_11_25_11_54_46.982,1,0,395
2019_11_25_11_18_4.179,1,0,430,2019_11_25_11_25_32.25,1,1,854,2019_11_25_11_32_58.59,0,0,0,2019_11_25_11_40_17.394,0,0,0,2019_11_25_11_47_38.248,0,0,0,2019_11_25_11_54_50.016,1,0,384
2019_11_25_11_18_7.211,1,0,789,2019_11_25_11_25_35.285,0,0,0,2019_11_25_11_33_1.624,0,0,0,2019_11_25_11_40_20.428,0,0,0,2019_11_25_11_47_41.282,1,0,526,2019_11_25_11_54_53.051,1,0,422
2019_11_25_11_18_10.245,1,0,667,2019_11_25_11_25_38.319,0,0,0,2019_11_25_11_33_4.658,0,0,0,2019_11_25_11_40_23.462,0,0,0,2019_11_25_11_47_44.317,0,0,0,2019_11_25_11_54_56.085,1,0,396
2019_11_25_11_18_13.28,1,0,593,2019_11_25_11_25_41.353,0,0,0,2019_11_25_11_33_7.693,1,1,852,2019_11_25_11_40_26.497,0,0,0,2019_11_25_11_47_47.351,1,1,762,2019_11_25_11_54_59.119,1,0,354
2019_11_25_11_18_16.314,1,1,598,2019_11_25_11_25_44.387,1,1,861,2019_11_25_11_33_10.727,0,0,0,2019_11_25_11_40_29.531,1,1,998,2019_11_25_11_47_50.385,0,0,0,2019_11_25_11_55_2.154,1,0,487
2019_11_25_11_18_19.348,1,0,540,2019_11_25_11_25_47.422,1,1,1091,2019_11_25_11_33_13.761,1,1,1775,2019_11_25_11_40_32.565,0,0,0,2019_11_25_11_47_53.42,1,1,517,2019_11_25_11_55_5.188,1,0,333
2019_11_25_11_18_22.383,1,0,594,2019_11_25_11_25_50.456,1,1,936,2019_11_25_11_33_16.796,1,1,1221,2019_11_25_11_40_35.599,1,1,689,2019_11_25_11_47_56.454,0,0,0,2019_11_25_11_55_8.222,1,0,419
2019_11_25_11_18_25.417,1,0,584,2019_11_25_11_25_53.49,0,0,0,2019_11_25_11_33_19.83,0,0,0,2019_11_25_11_40_38.634,0,0,0,2019_11_25_11_47_59.488,1,1,705,2019_11_25_11_55_11.256,1,1,344
2019_11_25_11_18_28.451,1,0,637,2019_11_25_11_25_56.525,0,0,0,2019_11_25_11_33_22.864,0,0,0,2019_11_25_11_40_41.668,0,0,0,2019_11_25_11_48_2.522,0,0,0,2019_11_25_11_55_14.291,1,0,398
2019_11_25_11_18_31.485,1,0,675,2019_11_25_11_25_59.559,0,0,0,2019_11_25_11_33_25.898,1,0,678,2019_11_25_11_40_44.702,0,0,0,2019_11_25_11_48_5.557,0,0,0,2019_11_25_11_55_17.325,1,0,292
2019_11_25_11_18_34.52,1,1,537,2019_11_25_11_26_2.593,0,0,0,2019_11_25_11_33_28.933,1,0,1004,2019_11_25_11_40_47.736,1,1,712,2019_11_25_11_48_8.591,0,0,0,2019_11_25_11_55_20.359,1,0,330
2019_11_25_11_18_37.554,1,0,463,2019_11_25_11_26_5.627,0,0,0,2019_11_25_11_33_31.967,0,0,0,2019_11_25_11_40_50.771,1,1,750,2019_11_25_11_48_11.625,0,0,0,2019_11_25_11_55_23.394,1,0,271
2019_11_25_11_18_40.588,1,0,420,2019_11_25_11_26_8.662,0,0,0,2019_11_25_11_33_35.001,1,1,1367,2019_11_25_11_40_53.805,0,0,0,2019_11_25_11_48_14.66,1,1,733,2019_11_25_11_55_26.428,1,0,309
2019_11_25_11_18_43.623,1,0,586,2019_11_25_11_26_11.696,0,0,0,2019_11_25_11_33_38.035,1,1,1149,2019_11_25_11_40_56.839,1,1,634,2019_11_25_11_48_17.694,0,0,0,2019_11_25_11_55_29.462,1,1,379
2019_11_25_11_18_46.657,1,0,464,2019_11_25_11_26_14.73,0,0,0,2019_11_25_11_33_41.07,0,0,0,2019_11_25_11_40_59.874,0,0,0,2019_11_25_11_48_20.728,1,1,1001,2019_11_25_11_55_32.496,1,0,369
2019_11_25_11_18_49.691,1,0,501,2019_11_25_11_26_17.765,0,0,0,2019_11_25_11_33_44.104,0,0,0,2019_11_25_11_41_2.908,0,0,0,2019_11_25_11_48_23.762,0,0,0,2019_11_25_11_55_35.531,1,0,342
2019_11_25_11_18_52.725,1,0,395,2019_11_25_11_26_20.799,1,0,770,2019_11_25_11_33_47.138,0,0,0,2019_11_25_11_41_5.942,0,0,0,2019_11_25_11_48_26.797,0,0,0,2019_11_25_11_55_38.565,1,0,380
2019_11_25_11_18_55.76,1,0,401,2019_11_25_11_26_23.833,0,0,0,2019_11_25_11_33_50.173,0,1,0,2019_11_25_11_41_8.976,0,0,0,2019_11_25_11_48_29.831,0,0,0,2019_11_25_11_55_41.599,1,0,450
2019_11_25_11_18_58.794,1,1,343,2019_11_25_11_26_26.867,0,0,0,2019_11_25_11_33_53.207,0,0,0,2019_11_25_11_41_12.011,0,0,0,2019_11_25_11_48_32.865,0,0,0,2019_11_25_11_55_44.634,1,0,503
2019_11_25_11_19_1.828,1,0,588,2019_11_25_11_26_29.902,0,0,0,2019_11_25_11_33_56.241,0,0,0,2019_11_25_11_41_15.045,0,0,0,2019_11_25_11_48_35.9,1,0,1157,2019_11_25_11_55_47.668,1,0,589
2019_11_25_11_19_4.862,1,0,578,2019_11_25_11_26_32.936,0,0,0,2019_11_25_11_33_59.275,0,0,0,2019_11_25_11_41_18.079,0,0,0,2019_11_25_11_48_38.934,0,0,0,2019_11_25_11_55_50.702,1,0,531
2019_11_25_11_19_7.897,1,1,536,2019_11_25_11_26_35.97,0,0,0,2019_11_25_11_34_2.31,0,0,0,2019_11_25_11_41_21.114,0,0,0,2019_11_25_11_48_41.968,0,0,0,2019_11_25_11_55_53.736,1,1,505
2019_11_25_11_19_10.931,1,0,430,2019_11_25_11_26_39.004,0,0,0,2019_11_25_11_34_5.344,0,0,0,2019_11_25_11_41_24.148,0,0,0,2019_11_25_11_48_45.002,1,1,1238,2019_11_25_11_55_56.771,1,0,382
2019_11_25_11_19_13.965,1,0,435,2019_11_25_11_26_42.039,0,0,0,2019_11_25_11_34_8.378,1,0,758,2019_11_25_11_41_27.182,0,0,0,2019_11_25_11_48_48.037,0,0,0,2019_11_25_11_55_59.805,1,0,452
2019_11_25_11_19_17,1,0,377,2019_11_25_11_26_45.073,1,1,815,2019_11_25_11_34_11.412,1,1,860,2019_11_25_11_41_30.216,0,0,0,2019_11_25_11_48_51.071,0,0,0,2019_11_25_11_56_2.839,1,1,458
2019_11_25_11_19_20.034,1,0,399,2019_11_25_11_26_48.107,1,0,1205,2019_11_25_11_34_14.447,0,0,0,2019_11_25_11_41_33.251,1,1,1294,2019_11_25_11_48_54.105,0,0,0,2019_11_25_11_56_5.874,1,1,383
2019_11_25_11_19_23.068,1,1,517,2019_11_25_11_26_51.142,0,0,0,2019_11_25_11_34_17.481,1,0,1064,2019_11_25_11_41_36.285,1,0,1268,2019_11_25_11_48_57.139,1,0,557,2019_11_25_11_56_8.908,1,0,325
2019_11_25_11_19_26.102,1,0,666,2019_11_25_11_26_54.176,0,0,0,2019_11_25_11_34_20.515,1,1,1325,2019_11_25_11_41_39.319,0,0,0,2019_11_25_11_49_0.174,0,0,0,2019_11_25_11_56_11.942,1,1,315
2019_11_25_11_19_29.137,1,0,351,2019_11_25_11_26_57.21,0,0,0,2019_11_25_11_34_23.55,0,0,0,2019_11_25_11_41_42.354,0,0,0,2019_11_25_11_49_3.208,0,0,0,2019_11_25_11_56_14.976,1,0,417
2019_11_25_11_19_32.171,1,0,517,2019_11_25_11_27_0.244,0,0,0,2019_11_25_11_34_26.584,0,0,0,2019_11_25_11_41_45.388,0,0,0,2019_11_25_11_49_6.242,1,1,687,2019_11_25_11_56_18.011,1,1,470
2019_11_25_11_19_35.205,1,1,283,2019_11_25_11_27_3.279,0,0,0,2019_11_25_11_34_29.618,0,0,0,2019_11_25_11_41_48.422,0,0,0,2019_11_25_11_49_9.276,0,0,0,2019_11_25_11_56_21.045,1,0,380
2019_11_25_11_19_38.24,1,0,513,2019_11_25_11_27_6.313,1,0,760,2019_11_25_11_34_32.653,0,0,0,2019_11_25_11_41_51.456,0,0,0,2019_11_25_11_49_12.311,1,1,586,2019_11_25_11_56_24.079,1,0,866
2019_11_25_11_19_41.274,1,0,455,2019_11_25_11_27_9.347,1,1,1069,2019_11_25_11_34_35.687,0,0,0,2019_11_25_11_41_54.491,1,1,646,2019_11_25_11_49_15.345,0,0,0,2019_11_25_11_56_27.113,1,1,359
2019_11_25_11_19_44.308,1,0,396,2019_11_25_11_27_12.382,0,0,0,2019_11_25_11_34_38.721,0,0,0,2019_11_25_11_41_57.525,0,0,0,2019_11_25_11_49_18.379,1,0,1141,2019_11_25_11_56_30.148,1,0,365
2019_11_25_11_19_47.342,1,0,530,2019_11_25_11_27_15.416,1,0,809,2019_11_25_11_34_41.755,0,0,0,2019_11_25_11_42_0.559,1,1,482,2019_11_25_11_49_21.414,1,1,763,2019_11_25_11_56_33.182,1,1,387
2019_11_25_11_19_50.377,1,1,472,2019_11_25_11_27_18.45,0,0,0,2019_11_25_11_34_44.79,1,0,939,2019_11_25_11_42_3.594,0,0,0,2019_11_25_11_49_24.448,1,1,1169,2019_11_25_11_56_36.216,1,0,425
2019_11_25_11_19_53.411,1,1,493,2019_11_25_11_27_21.484,0,0,0,2019_11_25_11_34_47.824,1,1,1121,2019_11_25_11_42_6.628,0,0,0,2019_11_25_11_49_27.482,0,0,0,2019_11_25_11_56_39.251,1,0,382
2019_11_25_11_19_56.445,1,0,451,2019_11_25_11_27_24.519,0,0,0,2019_11_25_11_34_50.858,1,1,1238,2019_11_25_11_42_9.662,0,0,0,2019_11_25_11_49_30.517,1,0,1372,2019_11_25_11_56_42.285,1,0,372
2019_11_25_11_19_59.48,1,0,457,2019_11_25_11_27_27.553,0,0,0,2019_11_25_11_34_53.893,0,0,0,2019_11_25_11_42_12.696,0,0,0,2019_11_25_11_49_33.551,1,1,786,2019_11_25_11_56_45.319,1,0,377
