time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2019_11_27_10_47_56.581,1,0,720,2019_11_27_10_55_17.727,0,0,0,2019_11_27_11_2_28.027,0,0,0,2019_11_27_11_9_37.299,0,0,0,2019_11_27_11_16_45.991,0,0,0,2019_11_27_11_23_54.385,1,0,482
2019_11_27_10_47_59.603,1,0,690,2019_11_27_10_55_20.741,0,0,0,2019_11_27_11_2_31.041,0,0,0,2019_11_27_11_9_40.313,0,0,0,2019_11_27_11_16_49.005,0,0,0,2019_11_27_11_23_57.4,1,1,460
2019_11_27_10_48_2.618,1,0,348,2019_11_27_10_55_23.755,0,0,0,2019_11_27_11_2_34.055,0,0,0,2019_11_27_11_9_43.327,1,1,711,2019_11_27_11_16_52.018,0,0,0,2019_11_27_11_24_0.413,1,0,375
2019_11_27_10_48_5.634,1,0,308,2019_11_27_10_55_26.769,0,0,0,2019_11_27_11_2_37.069,0,0,0,2019_11_27_11_9_46.341,0,0,0,2019_11_27_11_16_55.032,0,0,0,2019_11_27_11_24_3.427,1,0,418
2019_11_27_10_48_8.652,1,0,378,2019_11_27_10_55_29.784,1,1,462,2019_11_27_11_2_40.084,0,0,0,2019_11_27_11_9_49.355,0,0,0,2019_11_27_11_16_58.046,0,0,0,2019_11_27_11_24_6.441,1,0,381
2019_11_27_10_48_11.667,1,0,450,2019_11_27_10_55_32.798,0,0,0,2019_11_27_11_2_43.098,0,0,0,2019_11_27_11_9_52.369,0,0,0,2019_11_27_11_17_1.06,0,0,0,2019_11_27_11_24_9.454,1,0,295
2019_11_27_10_48_14.682,1,0,427,2019_11_27_10_55_35.812,0,0,0,2019_11_27_11_2_46.112,0,0,0,2019_11_27_11_9_55.383,0,0,0,2019_11_27_11_17_4.073,0,0,0,2019_11_27_11_24_12.468,1,0,290
2019_11_27_10_48_17.695,1,0,358,2019_11_27_10_55_38.825,0,0,0,2019_11_27_11_2_49.126,0,1,0,2019_11_27_11_9_58.396,0,0,0,2019_11_27_11_17_7.087,1,1,540,2019_11_27_11_24_15.482,1,0,316
2019_11_27_10_48_20.709,1,1,481,2019_11_27_10_55_41.84,1,1,536,2019_11_27_11_2_52.14,0,0,0,2019_11_27_11_10_1.41,1,1,1031,2019_11_27_11_17_10.101,0,0,0,2019_11_27_11_24_18.496,1,0,327
2019_11_27_10_48_23.722,1,0,523,2019_11_27_10_55_44.854,1,1,739,2019_11_27_11_2_55.154,1,1,794,2019_11_27_11_10_4.424,0,0,0,2019_11_27_11_17_13.114,0,1,0,2019_11_27_11_24_21.509,1,0,290
2019_11_27_10_48_26.736,1,0,438,2019_11_27_10_55_47.869,1,1,670,2019_11_27_11_2_58.168,0,1,0,2019_11_27_11_10_7.437,1,1,685,2019_11_27_11_17_16.128,0,0,0,2019_11_27_11_24_24.523,1,0,253
2019_11_27_10_48_29.75,1,0,448,2019_11_27_10_55_50.883,0,0,0,2019_11_27_11_3_1.181,0,0,0,2019_11_27_11_10_10.451,0,0,0,2019_11_27_11_17_19.141,1,1,743,2019_11_27_11_24_27.537,1,1,391
2019_11_27_10_48_32.763,1,0,603,2019_11_27_10_55_53.897,0,0,0,2019_11_27_11_3_4.196,0,0,0,2019_11_27_11_10_13.465,0,0,0,2019_11_27_11_17_22.155,0,0,0,2019_11_27_11_24_30.55,1,0,370
2019_11_27_10_48_35.775,1,0,456,2019_11_27_10_55_56.911,0,0,0,2019_11_27_11_3_7.209,0,0,0,2019_11_27_11_10_16.478,0,0,0,2019_11_27_11_17_25.169,0,0,0,2019_11_27_11_24_33.564,1,0,300
2019_11_27_10_48_38.788,1,1,387,2019_11_27_10_55_59.926,0,0,0,2019_11_27_11_3_10.223,1,0,1105,2019_11_27_11_10_19.492,1,1,888,2019_11_27_11_17_28.183,1,0,744,2019_11_27_11_24_36.578,1,0,535
2019_11_27_10_48_41.803,1,0,430,2019_11_27_10_56_2.94,1,0,978,2019_11_27_11_3_13.237,0,0,0,2019_11_27_11_10_22.506,1,1,883,2019_11_27_11_17_31.196,0,0,0,2019_11_27_11_24_39.591,1,0,482
2019_11_27_10_48_44.817,1,0,360,2019_11_27_10_56_5.954,0,0,0,2019_11_27_11_3_16.251,0,1,0,2019_11_27_11_10_25.52,0,0,0,2019_11_27_11_17_34.21,1,1,1421,2019_11_27_11_24_42.603,1,0,559
2019_11_27_10_48_47.831,1,0,355,2019_11_27_10_56_8.968,0,0,0,2019_11_27_11_3_19.265,0,1,0,2019_11_27_11_10_28.533,1,1,713,2019_11_27_11_17_37.223,0,0,0,2019_11_27_11_24_45.617,1,1,490
2019_11_27_10_48_50.845,1,0,526,2019_11_27_10_56_11.983,0,0,0,2019_11_27_11_3_22.279,0,0,0,2019_11_27_11_10_31.547,0,0,0,2019_11_27_11_17_40.237,0,1,0,2019_11_27_11_24_48.63,1,0,549
2019_11_27_10_48_53.859,1,0,553,2019_11_27_10_56_14.996,0,0,0,2019_11_27_11_3_25.293,0,0,0,2019_11_27_11_10_34.56,0,0,0,2019_11_27_11_17_43.251,0,0,0,2019_11_27_11_24_51.64,1,0,306
2019_11_27_10_48_56.872,1,0,468,2019_11_27_10_56_18.01,1,0,584,2019_11_27_11_3_28.307,0,0,0,2019_11_27_11_10_37.574,0,0,0,2019_11_27_11_17_46.265,0,0,0,2019_11_27_11_24_54.654,1,0,350
2019_11_27_10_48_59.887,1,0,462,2019_11_27_10_56_21.024,0,0,0,2019_11_27_11_3_31.321,1,1,1405,2019_11_27_11_10_40.588,0,0,0,2019_11_27_11_17_49.278,0,0,0,2019_11_27_11_24_57.669,1,0,424
2019_11_27_10_49_2.901,1,1,457,2019_11_27_10_56_24.038,0,0,0,2019_11_27_11_3_34.334,0,0,0,2019_11_27_11_10_43.602,0,0,0,2019_11_27_11_17_52.292,0,0,0,2019_11_27_11_25_0.682,1,0,434
2019_11_27_10_49_5.912,1,0,423,2019_11_27_10_56_27.053,0,0,0,2019_11_27_11_3_37.349,1,0,1042,2019_11_27_11_10_46.616,0,0,0,2019_11_27_11_17_55.306,0,0,0,2019_11_27_11_25_3.696,1,0,302
2019_11_27_10_49_8.925,1,0,466,2019_11_27_10_56_30.068,1,0,578,2019_11_27_11_3_40.363,0,0,0,2019_11_27_11_10_49.629,0,0,0,2019_11_27_11_17_58.319,0,0,0,2019_11_27_11_25_6.709,1,0,216
2019_11_27_10_49_11.94,1,1,493,2019_11_27_10_56_33.082,0,0,0,2019_11_27_11_3_43.377,0,0,0,2019_11_27_11_10_52.642,0,0,0,2019_11_27_11_18_1.333,0,0,0,2019_11_27_11_25_9.723,1,1,323
2019_11_27_10_49_14.953,1,0,424,2019_11_27_10_56_36.095,0,0,0,2019_11_27_11_3_46.391,0,0,0,2019_11_27_11_10_55.656,0,0,0,2019_11_27_11_18_4.346,1,1,1099,2019_11_27_11_25_12.737,1,0,286
2019_11_27_10_49_17.968,1,0,450,2019_11_27_10_56_39.109,1,0,499,2019_11_27_11_3_49.405,1,0,1821,2019_11_27_11_10_58.67,0,0,0,2019_11_27_11_18_7.361,0,0,0,2019_11_27_11_25_15.751,1,0,312
2019_11_27_10_49_20.982,1,0,494,2019_11_27_10_56_42.124,0,1,0,2019_11_27_11_3_52.419,1,1,1464,2019_11_27_11_11_1.684,0,0,0,2019_11_27_11_18_10.374,0,0,0,2019_11_27_11_25_18.765,1,1,338
2019_11_27_10_49_23.996,1,0,519,2019_11_27_10_56_45.138,0,0,0,2019_11_27_11_3_55.431,0,0,0,2019_11_27_11_11_4.697,1,1,748,2019_11_27_11_18_13.388,0,0,0,2019_11_27_11_25_21.778,1,1,317
2019_11_27_10_49_27.01,1,1,514,2019_11_27_10_56_48.152,0,0,0,2019_11_27_11_3_58.444,0,0,0,2019_11_27_11_11_7.711,0,0,0,2019_11_27_11_18_16.402,0,0,0,2019_11_27_11_25_24.792,1,0,232
2019_11_27_10_49_30.025,1,0,508,2019_11_27_10_56_51.165,0,0,0,2019_11_27_11_4_1.458,0,1,0,2019_11_27_11_11_10.725,0,0,0,2019_11_27_11_18_19.415,0,0,0,2019_11_27_11_25_27.805,1,1,307
2019_11_27_10_49_33.039,1,0,439,2019_11_27_10_56_54.179,0,0,0,2019_11_27_11_4_4.472,0,0,0,2019_11_27_11_11_13.738,0,0,0,2019_11_27_11_18_22.429,0,0,0,2019_11_27_11_25_30.819,1,0,302
2019_11_27_10_49_36.053,1,0,305,2019_11_27_10_56_57.193,0,0,0,2019_11_27_11_4_7.486,0,0,0,2019_11_27_11_11_16.752,0,0,0,2019_11_27_11_18_25.443,1,1,727,2019_11_27_11_25_33.832,1,1,393
2019_11_27_10_49_39.067,1,1,316,2019_11_27_10_57_0.207,0,0,0,2019_11_27_11_4_10.5,0,0,0,2019_11_27_11_11_19.765,0,0,0,2019_11_27_11_18_28.457,0,0,0,2019_11_27_11_25_36.846,1,0,324
2019_11_27_10_49_42.081,1,0,455,2019_11_27_10_57_3.221,1,0,553,2019_11_27_11_4_13.515,0,0,0,2019_11_27_11_11_22.779,0,0,0,2019_11_27_11_18_31.47,0,1,0,2019_11_27_11_25_39.86,1,0,382
2019_11_27_10_49_45.095,1,0,386,2019_11_27_10_57_6.235,1,1,835,2019_11_27_11_4_16.528,0,0,0,2019_11_27_11_11_25.792,1,1,505,2019_11_27_11_18_34.484,0,0,0,2019_11_27_11_25_42.873,1,1,344
2019_11_27_10_49_48.109,1,0,461,2019_11_27_10_57_9.249,0,0,0,2019_11_27_11_4_19.542,0,0,0,2019_11_27_11_11_28.806,0,0,0,2019_11_27_11_18_37.498,0,0,0,2019_11_27_11_25_45.887,1,0,388
