time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2019_5_28_15_59_18.569,1,0,1682,2019_5_28_16_6_42.324,0,0,0,2019_5_28_16_14_15.765,0,0,0,2019_5_28_16_21_58.159,0,0,0,2019_5_28_16_29_15.946,0,0,0,2019_5_28_16_36_27.013,1,0,812
2019_5_28_15_59_21.62,1,0,855,2019_5_28_16_6_45.358,0,0,0,2019_5_28_16_14_18.799,0,0,0,2019_5_28_16_22_1.193,0,0,0,2019_5_28_16_29_18.98,0,0,0,2019_5_28_16_36_30.064,1,0,409
2019_5_28_15_59_24.654,1,1,901,2019_5_28_16_6_48.392,1,1,786,2019_5_28_16_14_21.834,0,0,0,2019_5_28_16_22_4.228,0,0,0,2019_5_28_16_29_22.014,0,0,0,2019_5_28_16_36_33.115,1,1,422
2019_5_28_15_59_27.705,1,0,970,2019_5_28_16_6_51.443,0,0,0,2019_5_28_16_14_24.868,1,1,895,2019_5_28_16_22_7.262,0,0,0,2019_5_28_16_29_25.049,0,0,0,2019_5_28_16_36_36.166,1,0,363
2019_5_28_15_59_30.757,1,0,622,2019_5_28_16_6_54.477,0,0,0,2019_5_28_16_14_27.919,0,0,0,2019_5_28_16_22_10.296,0,0,0,2019_5_28_16_29_28.083,0,0,0,2019_5_28_16_36_39.217,1,0,424
2019_5_28_15_59_33.807,1,0,28,2019_5_28_16_6_57.512,0,0,0,2019_5_28_16_14_30.953,0,0,0,2019_5_28_16_22_13.331,0,0,0,2019_5_28_16_29_31.117,1,1,741,2019_5_28_16_36_42.268,1,0,373
2019_5_28_15_59_36.858,1,0,473,2019_5_28_16_7_0.546,1,1,817,2019_5_28_16_14_33.987,0,0,0,2019_5_28_16_22_16.365,1,1,733,2019_5_28_16_29_34.168,0,0,0,2019_5_28_16_36_45.319,1,0,362
2019_5_28_15_59_39.909,1,0,558,2019_5_28_16_7_3.597,0,0,0,2019_5_28_16_14_37.022,0,0,0,2019_5_28_16_22_19.416,0,0,0,2019_5_28_16_29_37.202,0,0,0,2019_5_28_16_36_48.37,1,0,375
2019_5_28_15_59_42.96,1,0,819,2019_5_28_16_7_6.631,1,1,860,2019_5_28_16_14_40.056,0,0,0,2019_5_28_16_22_22.45,0,0,0,2019_5_28_16_29_40.237,0,0,0,2019_5_28_16_36_51.421,1,0,533
2019_5_28_15_59_46.01,1,0,376,2019_5_28_16_7_9.682,1,1,1120,2019_5_28_16_14_43.09,0,0,0,2019_5_28_16_22_25.484,0,0,0,2019_5_28_16_29_43.271,0,0,0,2019_5_28_16_36_54.472,1,1,442
2019_5_28_15_59_49.062,1,1,414,2019_5_28_16_7_12.733,0,0,0,2019_5_28_16_14_46.125,0,0,0,2019_5_28_16_22_28.519,0,0,0,2019_5_28_16_29_46.305,1,1,712,2019_5_28_16_36_57.523,1,0,479
2019_5_28_15_59_52.112,1,1,370,2019_5_28_16_7_15.767,0,0,0,2019_5_28_16_14_49.159,0,0,0,2019_5_28_16_22_31.553,1,1,1025,2019_5_28_16_29_49.356,0,0,0,2019_5_28_16_37_0.574,1,0,500
2019_5_28_15_59_55.163,1,0,520,2019_5_28_16_7_18.802,0,0,0,2019_5_28_16_14_52.193,0,0,0,2019_5_28_16_22_34.604,0,0,0,2019_5_28_16_29_52.39,0,0,0,2019_5_28_16_37_3.625,1,0,337
2019_5_28_15_59_58.214,1,0,413,2019_5_28_16_7_21.836,0,0,0,2019_5_28_16_14_55.227,0,0,0,2019_5_28_16_22_37.638,0,0,0,2019_5_28_16_29_55.425,0,0,0,2019_5_28_16_37_6.676,1,0,374
2019_5_28_16_0_1.265,1,0,361,2019_5_28_16_7_24.87,0,0,0,2019_5_28_16_14_58.262,0,0,0,2019_5_28_16_22_40.672,0,0,0,2019_5_28_16_29_58.459,1,1,671,2019_5_28_16_37_9.727,1,1,331
2019_5_28_16_0_4.316,1,0,367,2019_5_28_16_7_27.905,0,0,0,2019_5_28_16_15_1.296,1,1,771,2019_5_28_16_22_43.707,0,0,0,2019_5_28_16_30_1.51,1,1,1116,2019_5_28_16_37_12.778,1,0,360
2019_5_28_16_0_7.367,1,0,364,2019_5_28_16_7_30.939,0,0,0,2019_5_28_16_15_4.347,0,0,0,2019_5_28_16_22_46.741,0,0,0,2019_5_28_16_30_4.561,0,0,0,2019_5_28_16_37_15.829,1,0,373
2019_5_28_16_0_10.418,1,0,385,2019_5_28_16_7_33.973,1,1,774,2019_5_28_16_15_7.381,0,0,0,2019_5_28_16_22_49.775,0,0,0,2019_5_28_16_30_7.595,0,0,0,2019_5_28_16_37_18.88,1,1,370
2019_5_28_16_0_13.469,1,0,366,2019_5_28_16_7_37.024,0,0,0,2019_5_28_16_15_10.415,0,0,0,2019_5_28_16_22_52.81,0,0,0,2019_5_28_16_30_10.629,0,0,0,2019_5_28_16_37_21.931,1,0,303
2019_5_28_16_0_16.52,1,1,339,2019_5_28_16_7_40.058,0,0,0,2019_5_28_16_15_13.45,0,0,0,2019_5_28_16_22_55.844,1,1,670,2019_5_28_16_30_13.664,0,0,0,2019_5_28_16_37_24.981,1,0,468
2019_5_28_16_0_19.571,1,0,328,2019_5_28_16_7_43.093,0,0,0,2019_5_28_16_15_16.484,0,0,0,2019_5_28_16_22_58.895,1,1,875,2019_5_28_16_30_16.698,0,0,0,2019_5_28_16_37_28.032,1,0,385
2019_5_28_16_0_22.622,1,1,333,2019_5_28_16_7_46.127,1,1,684,2019_5_28_16_15_19.518,1,1,1228,2019_5_28_16_23_1.946,0,0,0,2019_5_28_16_30_19.732,0,0,0,2019_5_28_16_37_31.084,1,1,598
2019_5_28_16_0_25.673,1,0,330,2019_5_28_16_7_49.178,0,0,0,2019_5_28_16_15_22.569,1,1,1073,2019_5_28_16_23_4.98,0,0,0,2019_5_28_16_30_22.767,0,0,0,2019_5_28_16_37_34.134,1,1,435
2019_5_28_16_0_28.724,1,1,303,2019_5_28_16_7_52.212,0,0,0,2019_5_28_16_15_25.62,1,1,1086,2019_5_28_16_23_8.014,0,0,0,2019_5_28_16_30_25.801,1,1,641,2019_5_28_16_37_37.185,1,0,512
2019_5_28_16_0_31.775,1,0,292,2019_5_28_16_7_55.246,0,0,0,2019_5_28_16_15_28.671,1,1,619,2019_5_28_16_23_11.049,1,1,721,2019_5_28_16_30_28.852,1,1,734,2019_5_28_16_37_40.236,1,0,397
2019_5_28_16_0_34.826,1,1,337,2019_5_28_16_7_58.281,1,1,794,2019_5_28_16_15_31.722,0,0,0,2019_5_28_16_23_14.1,1,1,815,2019_5_28_16_30_31.886,0,0,0,2019_5_28_16_37_43.287,1,0,410
2019_5_28_16_0_37.877,1,0,390,2019_5_28_16_8_1.332,0,0,0,2019_5_28_16_15_34.756,0,0,0,2019_5_28_16_23_17.15,0,0,0,2019_5_28_16_30_34.92,0,0,0,2019_5_28_16_37_46.338,1,0,487
2019_5_28_16_0_40.928,1,0,331,2019_5_28_16_8_4.366,0,0,0,2019_5_28_16_15_37.791,1,1,732,2019_5_28_16_23_20.185,1,1,689,2019_5_28_16_30_37.955,0,0,0,2019_5_28_16_37_49.389,1,1,436
2019_5_28_16_0_43.979,1,0,280,2019_5_28_16_8_7.4,0,0,0,2019_5_28_16_15_40.842,0,0,0,2019_5_28_16_23_23.236,0,0,0,2019_5_28_16_30_40.989,0,0,0,2019_5_28_16_37_52.44,1,1,457
2019_5_28_16_0_47.03,1,1,317,2019_5_28_16_8_10.434,0,0,0,2019_5_28_16_15_43.876,0,0,0,2019_5_28_16_23_26.27,1,1,884,2019_5_28_16_30_44.023,1,1,898,2019_5_28_16_37_55.491,1,0,383
2019_5_28_16_0_50.081,1,0,338,2019_5_28_16_8_13.469,0,0,0,2019_5_28_16_15_46.91,0,0,0,2019_5_28_16_23_29.321,0,0,0,2019_5_28_16_30_47.074,0,0,0,2019_5_28_16_37_58.542,1,0,476
2019_5_28_16_0_53.131,1,0,415,2019_5_28_16_8_16.503,1,1,691,2019_5_28_16_15_49.944,1,1,706,2019_5_28_16_23_32.355,0,0,0,2019_5_28_16_30_50.108,0,0,0,2019_5_28_16_38_1.593,1,0,417
2019_5_28_16_0_56.182,1,0,357,2019_5_28_16_8_19.554,1,1,953,2019_5_28_16_15_52.995,0,0,0,2019_5_28_16_23_35.39,1,1,596,2019_5_28_16_30_53.143,0,0,0,2019_5_28_16_38_4.644,1,0,413
2019_5_28_16_0_59.234,1,0,321,2019_5_28_16_8_22.605,1,1,933,2019_5_28_16_15_56.03,0,0,0,2019_5_28_16_23_38.44,0,0,0,2019_5_28_16_30_56.177,0,0,0,2019_5_28_16_38_7.695,1,0,323
2019_5_28_16_1_2.284,1,0,351,2019_5_28_16_8_25.656,0,0,0,2019_5_28_16_15_59.064,0,0,0,2019_5_28_16_23_41.475,0,0,0,2019_5_28_16_30_59.211,0,0,0,2019_5_28_16_38_10.746,1,0,384
2019_5_28_16_1_5.335,1,0,323,2019_5_28_16_8_28.69,1,1,728,2019_5_28_16_16_2.098,0,0,0,2019_5_28_16_23_44.509,0,0,0,2019_5_28_16_31_2.246,1,1,748,2019_5_28_16_38_13.797,1,0,525
2019_5_28_16_1_8.386,1,0,304,2019_5_28_16_8_31.741,0,0,0,2019_5_28_16_16_5.132,0,0,0,2019_5_28_16_23_47.543,1,1,659,2019_5_28_16_31_5.296,0,0,0,2019_5_28_16_38_16.848,1,0,474
2019_5_28_16_1_11.437,1,0,294,2019_5_28_16_8_34.775,0,0,0,2019_5_28_16_16_8.167,1,1,1044,2019_5_28_16_23_50.594,1,1,648,2019_5_28_16_31_8.331,1,1,959,2019_5_28_16_38_19.899,1,0,399
