time,b1.Rsp,b1.CRsp,b1.RT,time,b2.Rsp,b2.CRsp,b2.RT,time,b3.Rsp,b3.CRsp,b3.RT,time,b4.Rsp,b4.CRsp,b4.RT,time,b5.Rsp,b5.CRsp,b5.RT,time,b6.Rsp,b6.CRsp,b6.RT
2019_5_26_14_50_16.554,1,0,845,2019_5_26_14_57_38.375,0,0,0,2019_5_26_15_4_52.978,0,0,0,2019_5_26_15_12_4.662,0,0,0,2019_5_26_15_19_31.352,0,0,0,2019_5_26_15_26_49.238,1,0,568
2019_5_26_14_50_19.589,1,0,498,2019_5_26_14_57_41.41,0,0,0,2019_5_26_15_4_56.012,0,0,0,2019_5_26_15_12_7.696,0,0,0,2019_5_26_15_19_34.386,0,0,0,2019_5_26_15_26_52.272,1,1,613
2019_5_26_14_50_22.623,1,0,528,2019_5_26_14_57_44.444,0,0,0,2019_5_26_15_4_59.046,0,0,0,2019_5_26_15_12_10.731,0,1,0,2019_5_26_15_19_37.42,0,0,0,2019_5_26_15_26_55.306,1,0,243
2019_5_26_14_50_25.657,1,0,445,2019_5_26_14_57_47.478,0,0,0,2019_5_26_15_5_2.08,0,0,0,2019_5_26_15_12_13.765,1,0,577,2019_5_26_15_19_40.454,0,0,0,2019_5_26_15_26_58.374,1,0,0
2019_5_26_14_50_28.693,1,0,330,2019_5_26_14_57_50.513,1,1,1806,2019_5_26_15_5_5.115,0,0,0,2019_5_26_15_12_16.799,0,0,0,2019_5_26_15_19_43.489,0,0,0,2019_5_26_15_27_1.408,1,0,373
2019_5_26_14_50_31.726,1,0,801,2019_5_26_14_57_53.547,0,0,0,2019_5_26_15_5_8.149,0,0,0,2019_5_26_15_12_19.834,0,0,0,2019_5_26_15_19_46.523,0,0,0,2019_5_26_15_27_4.443,1,0,635
2019_5_26_14_50_34.76,1,0,751,2019_5_26_14_57_56.581,0,0,0,2019_5_26_15_5_11.183,0,0,0,2019_5_26_15_12_22.868,0,0,0,2019_5_26_15_19_49.557,0,0,0,2019_5_26_15_27_7.477,1,0,785
2019_5_26_14_50_37.794,1,0,453,2019_5_26_14_57_59.615,0,0,0,2019_5_26_15_5_14.218,1,1,1349,2019_5_26_15_12_25.902,0,0,0,2019_5_26_15_19_52.591,1,1,806,2019_5_26_15_27_10.511,1,0,950
2019_5_26_14_50_40.829,1,1,354,2019_5_26_14_58_2.65,1,1,1053,2019_5_26_15_5_17.252,0,0,0,2019_5_26_15_12_28.936,1,1,958,2019_5_26_15_19_55.625,0,0,0,2019_5_26_15_27_13.546,1,0,956
2019_5_26_14_50_43.863,1,0,384,2019_5_26_14_58_5.684,1,1,1067,2019_5_26_15_5_20.286,0,1,0,2019_5_26_15_12_31.971,0,0,0,2019_5_26_15_19_58.66,0,1,0,2019_5_26_15_27_16.58,1,0,802
